NO_OF_FRAMES	8444
NO_OF_CAMERAS	8
NO_OF_MARKERS	1
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-10, 12:21:36.594	1963.39651480
DATA_INCLUDED	3D
MARKER_NAMES	marker
Frame	Time	marker X	marker Y	marker Z	
1	0.00000	549.934	70.859	22.490
2	0.00667	550.134	70.850	22.714
3	0.01333	549.971	70.858	22.442
4	0.02000	549.927	70.871	22.434
5	0.02667	549.960	70.833	22.435
6	0.03333	549.960	70.838	22.438
7	0.04000	549.989	70.833	22.455
8	0.04667	549.959	70.819	22.464
9	0.05333	549.702	70.892	22.294
10	0.06000	549.954	70.794	22.541
11	0.06667	549.907	70.796	22.529
12	0.07333	549.829	70.812	22.333
13	0.08000	549.878	70.771	22.227
14	0.08667	549.840	70.841	22.330
15	0.09333	549.843	70.869	22.330
16	0.10000	549.896	70.767	22.222
17	0.10667	549.965	70.792	22.436
18	0.11333	549.864	70.744	22.197
19	0.12000	549.886	70.767	22.216
20	0.12667	549.882	70.783	22.235
21	0.13333	549.873	70.770	22.251
22	0.14000	549.874	70.786	22.243
23	0.14667	549.948	70.767	22.426
24	0.15333	549.651	70.926	22.117
25	0.16000	549.699	70.918	22.136
26	0.16667	549.696	70.918	22.124
27	0.17333	549.772	70.905	22.280
28	0.18000	549.625	70.953	22.116
29	0.18667	549.786	70.934	22.276
30	0.19333	549.845	70.917	22.336
31	0.20000	549.773	70.940	22.276
32	0.20667	549.808	70.933	22.377
33	0.21333	549.753	70.925	22.275
34	0.22000	549.757	70.933	22.274
35	0.22667	549.803	70.950	22.286
36	0.23333	549.820	70.962	22.321
37	0.24000	549.795	70.974	22.270
38	0.24667	549.780	70.963	22.258
39	0.25333	549.791	71.020	22.267
40	0.26000	549.782	70.958	22.262
41	0.26667	549.803	70.985	22.309
42	0.27333	549.813	70.956	22.283
43	0.28000	549.873	70.971	22.289
44	0.28667	549.868	70.961	22.278
45	0.29333	549.845	71.017	22.305
46	0.30000	549.924	71.093	22.291
47	0.30667	549.897	71.051	22.263
48	0.31333	549.928	71.060	22.271
49	0.32000	549.916	71.072	22.266
50	0.32667	549.946	71.107	22.235
51	0.33333	549.923	71.095	22.286
52	0.34000	550.009	71.077	22.234
53	0.34667	550.001	71.105	22.284
54	0.35333	549.946	71.134	22.283
55	0.36000	550.019	71.176	22.313
56	0.36667	550.034	71.122	22.253
57	0.37333	550.021	71.130	22.239
58	0.38000	550.017	71.179	22.272
59	0.38667	550.052	71.217	22.284
60	0.39333	550.073	71.232	22.291
61	0.40000	550.047	71.235	22.247
62	0.40667	550.042	71.214	22.288
63	0.41333	550.115	71.220	22.281
64	0.42000	550.073	71.240	22.263
65	0.42667	550.053	71.232	22.318
66	0.43333	550.090	71.262	22.328
67	0.44000	550.082	71.223	22.300
68	0.44667	550.118	71.324	22.291
69	0.45333	550.085	71.317	22.271
70	0.46000	550.066	71.324	22.297
71	0.46667	550.109	71.374	22.273
72	0.47333	550.138	71.389	22.283
73	0.48000	550.177	71.382	22.271
74	0.48667	550.173	71.390	22.311
75	0.49333	550.159	71.431	22.269
76	0.50000	550.231	71.452	22.295
77	0.50667	550.208	71.393	22.302
78	0.51333	550.235	71.405	22.304
79	0.52000	550.297	71.484	22.313
80	0.52667	550.292	71.503	22.304
81	0.53333	550.300	71.504	22.303
82	0.54000	550.330	71.522	22.273
83	0.54667	550.333	71.561	22.269
84	0.55333	550.298	71.504	22.235
85	0.56000	550.340	71.526	22.272
86	0.56667	550.356	71.517	22.318
87	0.57333	550.369	71.527	22.286
88	0.58000	550.358	71.535	22.305
89	0.58667	550.418	71.582	22.316
90	0.59333	550.400	71.568	22.313
91	0.60000	550.398	71.578	22.296
92	0.60667	550.408	71.581	22.307
93	0.61333	550.405	71.580	22.291
94	0.62000	550.351	71.577	22.305
95	0.62667	550.428	71.594	22.260
96	0.63333	550.390	71.582	22.286
97	0.64000	550.394	71.608	22.303
98	0.64667	550.386	71.574	22.288
99	0.65333	550.388	71.550	22.300
100	0.66000	550.407	71.560	22.312
101	0.66667	550.367	71.515	22.278
102	0.67333	550.343	71.565	22.307
103	0.68000	550.360	71.567	22.286
104	0.68667	550.350	71.519	22.308
105	0.69333	550.296	71.552	22.299
106	0.70000	550.313	71.522	22.282
107	0.70667	550.307	71.512	22.287
108	0.71333	550.330	71.519	22.263
109	0.72000	550.330	71.521	22.269
110	0.72667	550.285	71.492	22.290
111	0.73333	550.254	71.478	22.340
112	0.74000	550.268	71.445	22.260
113	0.74667	550.263	71.464	22.309
114	0.75333	550.234	71.463	22.330
115	0.76000	550.223	71.480	22.253
116	0.76667	550.286	71.460	22.231
117	0.77333	550.225	71.481	22.290
118	0.78000	550.217	71.455	22.235
119	0.78667	550.253	71.451	22.253
120	0.79333	550.249	71.485	22.268
121	0.80000	550.218	71.478	22.293
122	0.80667	550.225	71.442	22.293
123	0.81333	550.227	71.439	22.259
124	0.82000	550.193	71.440	22.317
125	0.82667	550.219	71.445	22.291
126	0.83333	550.200	71.402	22.268
127	0.84000	550.226	71.435	22.296
128	0.84667	550.173	71.474	22.271
129	0.85333	550.259	71.489	22.230
130	0.86000	550.202	71.445	22.238
131	0.86667	550.216	71.443	22.295
132	0.87333	550.233	71.472	22.257
133	0.88000	550.190	71.391	22.277
134	0.88667	550.186	71.430	22.271
135	0.89333	550.181	71.377	22.305
136	0.90000	550.139	71.417	22.296
137	0.90667	550.180	71.390	22.267
138	0.91333	550.199	71.361	22.261
139	0.92000	550.221	71.404	22.285
140	0.92667	550.199	71.361	22.245
141	0.93333	550.206	71.395	22.270
142	0.94000	550.123	71.314	22.303
143	0.94667	550.163	71.301	22.274
144	0.95333	550.223	71.319	22.265
145	0.96000	550.154	71.317	22.297
146	0.96667	550.184	71.280	22.264
147	0.97333	550.200	71.313	22.303
148	0.98000	550.190	71.279	22.280
149	0.98667	550.170	71.272	22.279
150	0.99333	550.117	71.322	22.257
151	1.00000	550.140	71.304	22.260
152	1.00667	550.136	71.277	22.259
153	1.01333	550.146	71.292	22.226
154	1.02000	550.082	71.323	22.276
155	1.02667	550.107	71.259	22.275
156	1.03333	550.128	71.322	22.291
157	1.04000	550.098	71.302	22.270
158	1.04667	550.112	71.279	22.234
159	1.05333	550.077	71.310	22.255
160	1.06000	550.132	71.281	22.285
161	1.06667	550.117	71.287	22.228
162	1.07333	550.054	71.312	22.277
163	1.08000	550.074	71.316	22.249
164	1.08667	550.100	71.292	22.254
165	1.09333	550.051	71.305	22.284
166	1.10000	550.088	71.287	22.238
167	1.10667	550.092	71.317	22.267
168	1.11333	550.050	71.255	22.235
169	1.12000	550.088	71.318	22.313
170	1.12667	550.068	71.303	22.263
171	1.13333	550.082	71.305	22.267
172	1.14000	550.120	71.277	22.265
173	1.14667	550.114	71.259	22.252
174	1.15333	550.098	71.282	22.248
175	1.16000	550.139	71.329	22.239
176	1.16667	550.123	71.294	22.263
177	1.17333	550.181	71.297	22.248
178	1.18000	550.107	71.317	22.267
179	1.18667	550.099	71.267	22.264
180	1.19333	550.078	71.311	22.262
181	1.20000	550.086	71.272	22.257
182	1.20667	550.099	71.322	22.318
183	1.21333	550.070	71.314	22.299
184	1.22000	550.080	71.280	22.243
185	1.22667	550.047	71.299	22.285
186	1.23333	550.032	71.299	22.288
187	1.24000	550.030	71.327	22.246
188	1.24667	550.049	71.252	22.246
189	1.25333	550.046	71.271	22.289
190	1.26000	550.004	71.299	22.318
191	1.26667	550.028	71.252	22.233
192	1.27333	550.043	71.250	22.241
193	1.28000	549.987	71.185	22.259
194	1.28667	550.020	71.231	22.235
195	1.29333	550.022	71.194	22.236
196	1.30000	550.021	71.194	22.267
197	1.30667	549.977	71.175	22.254
198	1.31333	549.966	71.198	22.263
199	1.32000	549.974	71.171	22.254
200	1.32667	549.961	71.172	22.287
201	1.33333	549.961	71.133	22.241
202	1.34000	549.988	71.158	22.258
203	1.34667	549.976	71.137	22.241
204	1.35333	549.934	71.167	22.239
205	1.36000	549.972	71.141	22.241
206	1.36667	549.918	71.101	22.236
207	1.37333	549.931	71.107	22.237
208	1.38000	549.934	71.101	22.238
209	1.38667	550.013	71.134	22.325
210	1.39333	550.000	71.138	22.272
211	1.40000	549.952	71.126	22.282
212	1.40667	549.991	71.101	22.242
213	1.41333	550.027	71.118	22.247
214	1.42000	550.009	71.117	22.236
215	1.42667	550.023	71.177	22.268
216	1.43333	550.037	71.155	22.219
217	1.44000	550.047	71.100	22.236
218	1.44667	550.051	71.142	22.287
219	1.45333	550.077	71.168	22.254
220	1.46000	550.097	71.126	22.278
221	1.46667	550.086	71.159	22.262
222	1.47333	550.093	71.177	22.247
223	1.48000	550.118	71.235	22.248
224	1.48667	550.067	71.260	22.239
225	1.49333	550.123	71.249	22.247
226	1.50000	550.099	71.285	22.244
227	1.50667	550.048	71.257	22.243
228	1.51333	550.022	71.255	22.280
229	1.52000	550.023	71.249	22.277
230	1.52667	550.024	71.281	22.301
231	1.53333	549.998	71.247	22.251
232	1.54000	549.996	71.236	22.271
233	1.54667	550.010	71.197	22.225
234	1.55333	549.972	71.184	22.241
235	1.56000	549.915	71.121	22.258
236	1.56667	549.944	71.137	22.219
237	1.57333	549.939	71.120	22.236
238	1.58000	549.859	71.038	22.251
239	1.58667	549.823	70.989	22.277
240	1.59333	549.861	70.933	22.324
241	1.60000	549.822	70.945	22.302
242	1.60667	549.754	70.887	22.306
243	1.61333	549.649	70.857	22.222
244	1.62000	549.688	70.823	22.308
245	1.62667	549.647	70.809	22.290
246	1.63333	549.575	70.735	22.297
247	1.64000	549.569	70.743	22.250
248	1.64667	549.316	70.664	22.265
249	1.65333	549.403	70.670	22.364
250	1.66000	549.348	70.591	22.191
251	1.66667	549.234	70.560	22.262
252	1.67333	549.240	70.541	22.334
253	1.68000	549.265	70.572	22.373
254	1.68667	549.216	70.483	22.274
255	1.69333	549.209	70.450	22.298
256	1.70000	549.297	70.512	22.348
257	1.70667	549.179	70.432	22.257
258	1.71333	549.236	70.476	22.278
259	1.72000	549.334	70.452	22.285
260	1.72667	549.420	70.481	22.173
261	1.73333	549.456	70.481	22.217
262	1.74000	549.472	70.467	22.221
263	1.74667	549.510	70.484	22.290
264	1.75333	549.572	70.493	22.238
265	1.76000	549.640	70.520	22.217
266	1.76667	549.748	70.576	22.320
267	1.77333	549.790	70.630	22.293
268	1.78000	549.802	70.682	22.324
269	1.78667	549.872	70.751	22.311
270	1.79333	549.880	70.790	22.315
271	1.80000	549.898	70.821	22.321
272	1.80667	549.894	70.825	22.277
273	1.81333	549.865	70.886	22.288
274	1.82000	549.908	70.958	22.277
275	1.82667	549.931	70.996	22.304
276	1.83333	549.938	71.048	22.299
277	1.84000	549.909	71.140	22.285
278	1.84667	549.980	71.140	22.305
279	1.85333	550.011	71.210	22.227
280	1.86000	549.980	71.262	22.299
281	1.86667	550.007	71.277	22.252
282	1.87333	550.022	71.305	22.230
283	1.88000	549.984	71.256	22.256
284	1.88667	549.999	71.340	22.283
285	1.89333	549.959	71.304	22.280
286	1.90000	549.944	71.306	22.294
287	1.90667	549.947	71.321	22.275
288	1.91333	549.931	71.362	22.280
289	1.92000	549.961	71.380	22.287
290	1.92667	549.882	71.364	22.281
291	1.93333	549.905	71.380	22.229
292	1.94000	549.877	71.369	22.266
293	1.94667	549.829	71.318	22.286
294	1.95333	549.803	71.330	22.248
295	1.96000	549.881	71.303	22.241
296	1.96667	549.838	71.271	22.279
297	1.97333	549.775	71.216	22.348
298	1.98000	549.866	71.182	22.292
299	1.98667	549.866	71.225	22.305
300	1.99333	549.827	71.171	22.281
301	2.00000	549.830	71.095	22.252
302	2.00667	549.780	71.146	22.317
303	2.01333	549.760	71.061	22.322
304	2.02000	549.756	71.048	22.321
305	2.02667	549.748	70.955	22.305
306	2.03333	549.800	70.903	22.309
307	2.04000	549.852	70.878	22.402
308	2.04667	549.808	70.816	22.401
309	2.05333	549.741	70.803	22.341
310	2.06000	549.843	70.719	22.392
311	2.06667	549.815	70.737	22.349
312	2.07333	549.833	70.725	22.356
313	2.08000	549.846	70.736	22.342
314	2.08667	549.834	70.714	22.324
315	2.09333	549.768	70.723	22.355
316	2.10000	549.804	70.708	22.367
317	2.10667	549.736	70.659	22.352
318	2.11333	549.723	70.675	22.371
319	2.12000	549.741	70.640	22.384
320	2.12667	549.680	70.662	22.366
321	2.13333	549.680	70.702	22.374
322	2.14000	549.652	70.711	22.353
323	2.14667	549.649	70.733	22.329
324	2.15333	549.655	70.796	22.345
325	2.16000	549.641	70.789	22.322
326	2.16667	549.532	70.762	22.229
327	2.17333	549.615	70.819	22.316
328	2.18000	549.594	70.809	22.320
329	2.18667	549.593	70.847	22.377
330	2.19333	549.613	70.840	22.353
331	2.20000	549.617	70.839	22.371
