,acc_x,acc_y,acc_z,freeacc_x,freeacc_y,freeacc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
0,0.070909,-0.137795,9.786194,0.2068,0.046031,0.02756,-0.02066,0.013489,0.002186,-0.134766,-0.123779,-1.471436
1,0.030664,-0.124915,9.841237,0.164767,0.045221,-0.027907,-0.018594,0.012792,0.00223,-0.136963,-0.117676,-1.465088
2,0.03416,-0.139484,9.761394,0.172266,0.031467,0.051807,-0.018593,0.012556,0.003917,-0.13916,-0.115479,-1.462891
3,0.047565,-0.129288,9.790196,0.181312,0.046107,0.023309,-0.019282,0.013915,0.004059,-0.141113,-0.119629,-1.464844
4,0.026797,-0.123757,9.817705,0.160153,0.044594,-0.004426,-0.018593,0.012082,0.007292,-0.136963,-0.117676,-1.467285
5,-0.013378,-0.090781,9.802326,0.110446,0.061564,0.010748,-0.021351,0.010997,0.005224,-0.136963,-0.119629,-1.464844
6,-0.00989,-0.132092,9.816353,0.128157,0.02409,-0.003693,-0.013768,0.016562,0.004812,-0.136963,-0.121826,-1.464844
7,-0.045669,-0.138494,9.815009,0.096746,0.005772,-0.002927,-0.022037,0.015734,0.005839,-0.138916,-0.121826,-1.462646
8,-0.061628,-0.166008,9.833062,0.091319,-0.025107,-0.021513,-0.019286,0.0103,0.005265,-0.136963,-0.117676,-1.462646
9,-0.062787,-0.161227,9.809556,0.087874,-0.021328,0.002022,-0.020662,0.013018,0.00555,-0.13501,-0.115479,-1.462891
10,-0.059289,-0.196039,9.800068,0.103035,-0.052847,0.011163,-0.019284,0.013917,0.00405,-0.13916,-0.119629,-1.464844
11,-0.080118,-0.197287,9.851004,0.084072,-0.060368,-0.040074,-0.018596,0.012797,0.002216,-0.13501,-0.115479,-1.462891
12,-0.057108,-0.239357,9.81398,0.119824,-0.092516,-0.00321,-0.019285,0.014155,0.002358,-0.13501,-0.117432,-1.469482
13,-0.077957,-0.21352,9.771065,0.090724,-0.076108,0.039696,-0.017218,0.013458,0.002404,-0.137207,-0.113281,-1.467285
14,-0.059839,-0.242937,9.813875,0.118335,-0.096871,-0.003186,-0.019285,0.014394,0.000667,-0.13916,-0.117676,-1.465088
15,-0.061203,-0.251563,9.837278,0.119943,-0.105041,-0.026705,-0.018597,0.013036,0.000522,-0.132813,-0.117432,-1.462646
