NO_OF_FRAMES	9217
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	150
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2024-01-16, 10:54:23.294	2216.09629770
DATA_INCLUDED	3D
MARKER_NAMES	marker1		
Frame	Time	marker1 X	marker1 Y	marker1 Z	 X	 Y	 Z	 X	 Y	 Z	
1	0.00000	964.012	291.025	85.861	0.000	0.000	0.000	0.000	0.000	0.000
2	0.00667	964.059	291.036	85.865	0.000	0.000	0.000	0.000	0.000	0.000
3	0.01333	964.007	291.045	85.853	0.000	0.000	0.000	0.000	0.000	0.000
4	0.02000	963.999	291.092	85.842	0.000	0.000	0.000	0.000	0.000	0.000
5	0.02667	963.989	291.085	85.836	0.000	0.000	0.000	0.000	0.000	0.000
6	0.03333	963.971	291.087	85.809	0.000	0.000	0.000	0.000	0.000	0.000
7	0.04000	963.953	291.110	85.800	0.000	0.000	0.000	0.000	0.000	0.000
8	0.04667	963.895	291.147	85.785	0.000	0.000	0.000	0.000	0.000	0.000
9	0.05333	963.857	291.154	85.777	0.000	0.000	0.000	0.000	0.000	0.000
10	0.06000	963.846	291.135	85.814	0.000	0.000	0.000	0.000	0.000	0.000
11	0.06667	963.836	291.125	85.795	0.000	0.000	0.000	0.000	0.000	0.000
12	0.07333	963.915	291.022	85.843	0.000	0.000	0.000	0.000	0.000	0.000
13	0.08000	963.867	291.014	85.820	0.000	0.000	0.000	0.000	0.000	0.000
14	0.08667	963.859	291.017	85.788	0.000	0.000	0.000	0.000	0.000	0.000
15	0.09333	963.842	291.020	85.749	0.000	0.000	0.000	0.000	0.000	0.000
16	0.10000	963.808	291.004	85.717	0.000	0.000	0.000	0.000	0.000	0.000
17	0.10667	963.804	291.052	85.701	0.000	0.000	0.000	0.000	0.000	0.000
18	0.11333	963.787	291.004	85.688	0.000	0.000	0.000	0.000	0.000	0.000
19	0.12000	963.799	291.001	85.681	0.000	0.000	0.000	0.000	0.000	0.000
20	0.12667	963.799	291.007	85.678	0.000	0.000	0.000	0.000	0.000	0.000
21	0.13333	963.807	290.949	85.687	0.000	0.000	0.000	0.000	0.000	0.000
22	0.14000	963.809	290.952	85.702	0.000	0.000	0.000	0.000	0.000	0.000
23	0.14667	963.816	290.926	85.690	0.000	0.000	0.000	0.000	0.000	0.000
24	0.15333	963.868	290.753	85.673	0.000	0.000	0.000	0.000	0.000	0.000
25	0.16000	963.872	290.748	85.658	0.000	0.000	0.000	0.000	0.000	0.000
26	0.16667	963.857	290.745	85.666	0.000	0.000	0.000	0.000	0.000	0.000
27	0.17333	963.844	290.732	85.650	0.000	0.000	0.000	0.000	0.000	0.000
28	0.18000	963.785	290.855	85.544	0.000	0.000	0.000	0.000	0.000	0.000
29	0.18667	963.777	290.820	85.510	0.000	0.000	0.000	0.000	0.000	0.000
30	0.19333	963.772	290.824	85.544	0.000	0.000	0.000	0.000	0.000	0.000
31	0.20000	963.769	290.778	85.561	0.000	0.000	0.000	0.000	0.000	0.000
32	0.20667	963.765	290.769	85.540	0.000	0.000	0.000	0.000	0.000	0.000
33	0.21333	963.765	290.756	85.546	0.000	0.000	0.000	0.000	0.000	0.000
34	0.22000	963.749	290.731	85.561	0.000	0.000	0.000	0.000	0.000	0.000
35	0.22667	963.782	290.759	85.578	0.000	0.000	0.000	0.000	0.000	0.000
36	0.23333	963.732	290.737	85.534	0.000	0.000	0.000	0.000	0.000	0.000
37	0.24000	963.753	290.737	85.546	0.000	0.000	0.000	0.000	0.000	0.000
38	0.24667	963.755	290.752	85.548	0.000	0.000	0.000	0.000	0.000	0.000
39	0.25333	963.751	290.772	85.516	0.000	0.000	0.000	0.000	0.000	0.000
40	0.26000	963.743	290.751	85.506	0.000	0.000	0.000	0.000	0.000	0.000
41	0.26667	963.731	290.809	85.518	0.000	0.000	0.000	0.000	0.000	0.000
42	0.27333	963.755	290.856	85.544	0.000	0.000	0.000	0.000	0.000	0.000
43	0.28000	963.725	290.826	85.558	0.000	0.000	0.000	0.000	0.000	0.000
44	0.28667	963.750	290.845	85.593	0.000	0.000	0.000	0.000	0.000	0.000
45	0.29333	963.763	290.888	85.635	0.000	0.000	0.000	0.000	0.000	0.000
46	0.30000	963.774	290.877	85.654	0.000	0.000	0.000	0.000	0.000	0.000
47	0.30667	963.757	290.933	85.664	0.000	0.000	0.000	0.000	0.000	0.000
48	0.31333	963.786	290.966	85.676	0.000	0.000	0.000	0.000	0.000	0.000
49	0.32000	963.795	291.003	85.670	0.000	0.000	0.000	0.000	0.000	0.000
50	0.32667	963.776	291.029	85.671	0.000	0.000	0.000	0.000	0.000	0.000
51	0.33333	963.788	291.071	85.695	0.000	0.000	0.000	0.000	0.000	0.000
52	0.34000	963.773	291.103	85.675	0.000	0.000	0.000	0.000	0.000	0.000
53	0.34667	963.774	291.081	85.707	0.000	0.000	0.000	0.000	0.000	0.000
54	0.35333	963.784	291.114	85.731	0.000	0.000	0.000	0.000	0.000	0.000
55	0.36000	963.784	291.125	85.791	0.000	0.000	0.000	0.000	0.000	0.000
56	0.36667	963.763	291.128	85.778	0.000	0.000	0.000	0.000	0.000	0.000
57	0.37333	963.784	291.120	85.764	0.000	0.000	0.000	0.000	0.000	0.000
58	0.38000	963.763	291.087	85.808	0.000	0.000	0.000	0.000	0.000	0.000
59	0.38667	963.753	291.113	85.786	0.000	0.000	0.000	0.000	0.000	0.000
